carving_id,stone,source,hc_recurve,hc_ring,hc_axe_note,area_px,perim_px,width_px,height_px,area_rel,perim_cm,width_cm,height_cm,circularity,aspect_ratio,roundness,solidity,lda_p_mushroom,rf_p_mushroom,mahal_dist_to_axe_centroid,mahal_dist_to_mushroom_centroid,nearest_centroid
s4_012,4,"Extracted (this study, from Stone4.tiff)",,,,6144.0,410.63455967290594,109.0,131.0,,,,,0.4578783151054993,1.459275681974782,0.4837468683519272,0.7025728987993138,0.009125728931721838,0.72,3.1581423036195484,3.922600561718783,axe
s4_013,4,"Extracted (this study, from Stone4.tiff)",,,,32552.0,967.6955262170048,211.0,317.0,,,,,0.4368276038666728,1.9509877623280785,0.3633180845971459,0.7251826768846907,5.48099124690577e-05,0.34,3.4964041195271927,3.692235217610031,axe
s4_014,4,"Extracted (this study, from Stone4.tiff)",,,,7878.0,459.7056274847714,104.0,156.0,,,,,0.4684531893674786,1.951865247986112,0.3584687914382088,0.743979601473227,1.276155573635197e-05,0.3566666666666667,3.5763841299628574,3.811954273482472,axe
s4_015,4,"Extracted (this study, from Stone4.tiff)",,,,13391.0,602.5168106668145,139.0,207.0,,,,,0.4635371400959203,2.015836549760608,0.3637619258989387,0.7500280049288675,2.440796531336923e-05,0.35,3.192387713727538,3.4242585994543884,axe
s4_016,4,"Extracted (this study, from Stone4.tiff)",,,,7328.0,493.5634918610405,108.0,173.0,,,,,0.3780152045933574,2.366858542361228,0.2659426067323997,0.640167729536123,4.2898103779877216e-06,0.25,4.679905079308909,3.5398129506192633,mushroom
s4_017,4,"Extracted (this study, from Stone4.tiff)",,,,10969.0,603.6467529817256,160.0,169.0,,,,,0.3782780683701794,1.4758368872497698,0.4253730074550758,0.6472913961996931,0.00588216143617441,0.7033333333333334,4.399232149014169,4.843680394049087,axe
s4_018,4,"Extracted (this study, from Stone4.tiff)",,,,10235.0,536.2914139223983,122.0,182.0,,,,,0.4471940568257338,2.086216055943173,0.339760176856643,0.7197102876028408,1.291017488591618e-05,0.32666666666666666,3.5902279787239832,3.5069038451520114,mushroom
s4_019,4,"Extracted (this study, from Stone4.tiff)",,,,12712.0,563.0609665440987,151.0,160.0,,,,,0.503863507123029,1.376501485371842,0.5638494805394193,0.7851275399913532,0.13269439560665225,0.6766666666666666,3.300415549281795,3.0211084167873863,mushroom
s4_020,4,"Extracted (this study, from Stone4.tiff)",,,,16708.0,912.7838379715732,155.0,254.0,,,,,0.2519987851755657,2.5870111319899087,0.2258786625949766,0.5537033968516984,7.414958976452645e-05,0.56,5.402531586865708,3.545180815749734,mushroom
s4_021,4,"Extracted (this study, from Stone4.tiff)",,,,7971.0,517.4629867976521,132.0,150.0,,,,,0.3740796570155741,1.3953169265166223,0.4332035346564249,0.6358994814519345,0.008949424054792534,0.7,4.592884753583705,5.099466900159818,axe
s4_022,4,"Extracted (this study, from Stone4.tiff)",,,,9000.0,505.0548698896889,135.0,139.0,,,,,0.4433791304724231,1.2253109655398868,0.5988609318054724,0.708159571956881,0.8874580477783124,0.8833333333333333,4.7906987474162195,3.0819827419650454,mushroom
s4_023,4,"Extracted (this study, from Stone4.tiff)",,,,5756.0,391.37972567696687,103.0,117.0,,,,,0.4722087173930587,1.3989187733246269,0.4866399046881598,0.7233882116375518,0.005515311146588232,0.69,3.1501744881845504,4.180448219723654,axe
s4_024,4,"Extracted (this study, from Stone4.tiff)",,,,8370.0,481.29751057680824,124.0,137.0,,,,,0.4540546119399471,1.193868058125089,0.6271405329884358,0.7560292656489929,0.9629651002475511,0.88,5.234411795759089,2.7739678297244574,mushroom
s4_025,4,"Extracted (this study, from Stone4.tiff)",,,,6783.0,394.0071426749364,91.0,133.0,,,,,0.5490646594756718,1.9233409025040515,0.4460167971108241,0.8406246127153303,0.0001035791277821003,0.12666666666666668,1.5663435997687103,2.6862076090037865,axe
s4_026,4,"Extracted (this study, from Stone4.tiff)",,,,4200.0,323.9655121145938,94.0,89.0,,,,,0.5028767942013308,1.4142307028746668,0.4984748692888098,0.7610074288820439,0.0036866392964066855,0.6533333333333333,2.7698592439897087,3.9503296625899496,axe
