id,stone,assigned_class,d_A. muscaria,d_P. coronilla,d_P. subviscida,d_Stropharia aeru,d_Bronze axe (avg
F627,S53,Stropharia aeruginosa,3.531426556665986,0.9768829824639415,0.8995813381710981,0.8817400320874291,2.261938289568419
F628,S53,Stropharia aeruginosa,4.225935871360714,1.726818154749392,1.6059058290027495,1.576452072042018,2.727505004748592
F629,S53,P. coronilla,3.1646299787167522,0.6641650364820091,1.001875993296524,1.0269769999434897,1.6207881837919804
F630,S53,Stropharia aeruginosa,7.829399436132155,5.39940807282911,5.356012027833007,5.327800164371704,5.629288462856024
F631,S53,Bronze axe (avg Needham),2.2146518855087582,1.4663087005287698,1.9648586383282638,2.0200508563376767,0.7113346339246887
F632,S53,Bronze axe (avg Needham),3.4414120045331593,1.4193896720600794,1.8407746388798292,1.8711889854665893,1.0641910530245549
F634,S53,P. subviscida,2.796362333788215,0.423323348175648,0.16243846506692763,0.1952764502083478,2.1634426945812812
F636,S53,P. coronilla,4.26127082015641,1.7502316268281368,1.803800895732316,1.7911130440469003,2.385763996796631
F637,S53,P. coronilla,2.28243518538631,0.4429618089802895,0.5770040643647546,0.6323292266831609,2.0237769209086727
F638,S53,Stropharia aeruginosa,3.515906203739143,0.9540251213864176,0.8446428000732985,0.8238760327890652,2.3110319033638027
F720,S53,Stropharia aeruginosa,4.066823888784962,1.7272602302712066,1.393119543427891,1.3447057458141403,3.097064590172638
F646,S4,Stropharia aeruginosa,4.460007652957245,1.9995421007787038,1.7930649151418467,1.7543397401520022,3.0955720291364512
F649,S4,Stropharia aeruginosa,4.550973995253733,2.249137227565655,1.9191841672885677,1.8701040370290984,3.515702973164237
F651,S4,P. coronilla,2.965854304373165,0.9655027730369558,1.447728251716974,1.4881308388879135,1.0077448556762705
F658,S4,Stropharia aeruginosa,3.712355009256468,1.1273196002042547,1.1165509562264386,1.1021535159908757,2.257602824374006
F662,S4,Stropharia aeruginosa,4.323692858308527,1.8175659606364236,1.7531490381409032,1.728672290186389,2.67217420335394
F664,S4,P. subviscida,2.8841911045160598,0.43650385168546907,0.4301442919028488,0.4493484613453624,1.9888761214799144
F667-aligned,S4,Stropharia aeruginosa,3.127860050571631,0.8506417907684428,0.4421948831962959,0.39778834574688643,2.478080805832165
F670,S4,Bronze axe (avg Needham),2.8993885104742874,1.2689918092922214,1.7726620154383255,1.8173201017950265,0.6380836573961122
F671,S4,Stropharia aeruginosa,4.588127662712671,2.0561369398845297,2.0351617910028716,2.0134038197092545,2.7681060454187567
F672,S4,Stropharia aeruginosa,3.711853716003262,1.1928602755809659,1.008085992285264,0.9762272318724554,2.5244822706345174
F673-aligned,S4,Stropharia aeruginosa,3.9521884246437646,1.6178124173817503,1.2702532392039325,1.221048003331205,3.0327165233240923
F674,S4,Bronze axe (avg Needham),2.6360243909313237,1.5732511459386807,2.072723949011157,2.1222198351329578,0.2678686730387607
F675,S4,P. coronilla,1.889036097907579,0.7372474954766195,1.0049925754993436,1.060652408098594,1.7990973565169182
F677,S4,P. coronilla,1.8965284466413332,0.800861211252895,1.0470711172042533,1.1016949906827884,1.928336680686835
F678,S4,Stropharia aeruginosa,4.108671519378626,1.595572639269634,1.4906507639499298,1.4634109515667733,2.617437348203998
F679,S4,P. subviscida,2.13525593298019,1.2890552259475316,1.0836245526733186,1.1021115213334576,2.8258694023503743
F681,S4,P. coronilla,2.175671922352461,0.5943198470002787,1.053077372341259,1.110909427658689,1.4762380859524977
F685,S4,Stropharia aeruginosa,3.3596346614561727,0.8787351912829442,0.6552622136015668,0.6261498371416511,2.3684022606812523
F688,S4,Stropharia aeruginosa,4.073935080268587,1.718474698239802,1.4064060913820418,1.3600416271891378,3.047400492027677
F689,S4,Stropharia aeruginosa,4.417590575626283,1.9260701337961095,1.7810491400276827,1.748267742776799,2.918373755107225
F698,S4,P. coronilla,2.8501813385450836,0.5987534427394314,1.0735580165759266,1.1144111648542692,1.316790916100443
F699,S4,P. coronilla,3.75881449488308,1.2229034665710905,1.2692922789720742,1.2599975873606262,2.1465395499461364
F701,S4,P. subviscida,2.698279286386187,0.4190580819972144,0.1322982445054212,0.18947967823259904,2.206656804754073
F702,S4,Stropharia aeruginosa,5.054962005056818,2.7853787606407954,2.477090157783634,2.429429286822308,3.9144780328302256
F704,S4,Stropharia aeruginosa,3.784754299684424,1.3252901119181748,1.072715878205538,1.0332466520505734,2.688899960115047
F707,S4,P. coronilla,2.979374175813117,0.7102678648890876,1.1625744988281825,1.1995140638485027,1.3051458225718433
F719,S4,P. coronilla,2.2408074660452435,0.4883696139934174,0.6171223998126643,0.6715124634951742,2.03702643712469
F722,S4,P. coronilla,3.6704006740484996,1.3599916491703532,1.6801620687935004,1.6979534956967275,1.5109603140639916
F725,S4,Stropharia aeruginosa,3.8336126485249333,1.2644128016345397,1.2583189296622657,1.2429097144094405,2.2941773150845477
f650,S4,P. coronilla,2.6692305778311263,0.6533651142119361,1.1658322384186581,1.2131878136471126,1.1732606192905888
f706,S4,Bronze axe (avg Needham),2.356430039412807,1.9434383767039318,2.435869908730785,2.489762946025784,0.6041374325896244
