carving_id,stone,source,hc_recurve,hc_ring,hc_axe_note,area_px,perim_px,width_px,height_px,area_rel,perim_cm,width_cm,height_cm,circularity,aspect_ratio,roundness,solidity,mahal_d_axe,mahal_d_mushroom,lda_p_mushroom,closer_to
s4_030,4,"Extracted (this study, from Stone4.tiff)",,,,29430.0,973.4356415871824,263.0,278.0,,,,,0.390288395933755,1.391579148992733,0.4959036939776879,0.659998654436994,,,,
s4_031,4,"Extracted (this study, from Stone4.tiff)",,,,17724.0,694.4163056034262,183.0,216.0,,,,,0.4618827952612954,1.3864871476441427,0.4828858787732519,0.7110362257792755,,,,
s4_032,4,"Extracted (this study, from Stone4.tiff)",,,,9604.0,473.94826817189073,142.0,133.0,,,,,0.5372793314527785,1.106752507401459,0.6683451779129334,0.7825307585757354,,,,
s4_033,4,"Extracted (this study, from Stone4.tiff)",,,,97319.0,2030.655987697715,424.0,639.0,,,,,0.2965751710941957,2.3044552235159506,0.2517215783936903,0.5755898200228299,,,,
s4_034,4,"Extracted (this study, from Stone4.tiff)",,,,8435.0,470.91883092036784,126.0,146.0,,,,,0.4779724188163813,1.4367176210253114,0.5080669526461025,0.7362953910614525,,,,
s4_035,4,"Extracted (this study, from Stone4.tiff)",,,,14642.0,688.5584412271571,167.0,188.0,,,,,0.3880866048575857,1.1453202288465172,0.6104029054211125,0.6984020987359886,,,,
s4_036,4,"Extracted (this study, from Stone4.tiff)",,,,8535.0,467.8061325481598,137.0,130.0,,,,,0.4900964626968193,1.2626092962825235,0.5849990146375578,0.7426905673512009,,,,
s4_037,4,"Extracted (this study, from Stone4.tiff)",,,,11606.0,585.5046173579948,161.0,155.0,,,,,0.4254335949789313,1.1791524648241134,0.5844125473219044,0.6826255734619456,,,,
s4_038,4,"Extracted (this study, from Stone4.tiff)",,,,7070.0,448.9777054234135,117.0,136.0,,,,,0.4407372176578522,1.624266493935733,0.4291166052663452,0.705518411336194,,,,
s4_039,4,"Extracted (this study, from Stone4.tiff)",,,,10445.0,509.6639969244288,123.0,164.0,,,,,0.5053012781956139,1.6371349018911807,0.4508462862600726,0.7760606285756743,,,,
s4_040,4,"Extracted (this study, from Stone4.tiff)",,,,8990.0,531.4041122946064,130.0,161.0,,,,,0.4000550287880271,1.4017672698244696,0.488380755179193,0.686050061050061,,,,
s4_041,4,"Extracted (this study, from Stone4.tiff)",,,,10686.0,609.1198410471445,148.0,190.0,,,,,0.3619257987948914,1.7132319362066863,0.3385335968455205,0.6021978021978022,,,,
s4_042,4,"Extracted (this study, from Stone4.tiff)",,,,75932.0,1943.5849198858496,462.0,467.0,,,,,0.2525966936533067,1.2932116215864653,0.3904040767334784,0.5607934948781766,,,,
s4_043,4,"Extracted (this study, from Stone4.tiff)",,,,19428.0,764.5584412271571,231.0,189.0,,,,,0.4176539409104681,1.1577750735872705,0.5715083291926333,0.68252239592482,,,,
s4_044,4,"Extracted (this study, from Stone4.tiff)",,,,16743.0,866.4579361637689,220.0,253.0,,,,,0.280251646911705,1.404280495595352,0.3618827228145757,0.507794492296494,,,,
s4_045,4,"Extracted (this study, from Stone4.tiff)",,,,6761.0,396.45079348883235,107.0,118.0,,,,,0.5405578979796879,1.3422064073537223,0.566020391922098,0.7670751077830724,,,,
s4_046,4,"Extracted (this study, from Stone4.tiff)",,,,18853.0,836.9015869776647,209.0,262.0,,,,,0.3382529156323888,1.7961461312802296,0.318609032160808,0.5845710210536107,,,,
s4_047,4,"Extracted (this study, from Stone4.tiff)",,,,18187.0,716.6417023478424,200.0,223.0,,,,,0.4450069331918014,1.3065135279652915,0.5134711456561111,0.6963396891033004,,,,
s4_048,4,"Extracted (this study, from Stone4.tiff)",,,,6893.0,459.5990257669732,126.0,129.0,,,,,0.4100718369298922,1.2683605243475449,0.5308808764182988,0.664577709217123,,,,
s4_049,4,"Extracted (this study, from Stone4.tiff)",,,,24116.0,791.653895656662,171.0,286.0,,,,,0.4835533905005379,2.2207854270808056,0.3432026398873489,0.7781362932369644,,,,
s4_050,4,"Extracted (this study, from Stone4.tiff)",,,,24349.0,912.4995667241114,217.0,286.0,,,,,0.3674731903597503,1.874649676008096,0.3217849318963982,0.6262763959978395,,,,
s4_051,4,"Extracted (this study, from Stone4.tiff)",,,,67334.0,1954.4621202458748,364.0,577.0,,,,,0.2215081771805442,2.9586954273935677,0.2265473753001255,0.5375882221441574,,,,
s4_052,4,"Extracted (this study, from Stone4.tiff)",,,,43423.0,1090.38181771802,236.0,382.0,,,,,0.45895751636654,2.5178051402762067,0.3217792491587798,0.7705398019661426,,,,
s4_053,4,"Extracted (this study, from Stone4.tiff)",,,,30856.0,993.5117600329312,222.0,342.0,,,,,0.3928289314017257,2.1601498670627906,0.319735182240983,0.67779632721202,,,,
s4_054,4,"Extracted (this study, from Stone4.tiff)",,,,9706.0,660.6528496361356,190.0,179.0,,,,,0.2794496215506435,1.257064499732399,0.4341202718749458,0.5132734003172924,,,,
s4_055,4,"Extracted (this study, from Stone4.tiff)",,,,32903.0,1097.7544007200504,277.0,338.0,,,,,0.3431112735993135,1.9107741635980455,0.3400490048408072,0.6036361634989359,,,,
s4_056,4,"Extracted (this study, from Stone4.tiff)",,,,70614.0,2129.8996744053607,461.0,401.0,,,,,0.1956060949331308,1.4531500805240962,0.380997051470801,0.5434145215283389,,,,
RiCruin1,"RiCruin (Kilmartin cairn, comparison site)",Extracted (this study),,,,,,,,,,,,0.45882145284448295,1.750337215329662,0.43074635586588256,0.7564059486030739,3.2745514296979747,0.7983938943600349,0.7150523656862751,mushroom
RiCruin2,"RiCruin (Kilmartin cairn, comparison site)",Extracted (this study),,,,,,,,,,,,0.48460542811036006,1.652303004602328,0.46936666511645203,0.7792805683783548,3.5125433216260324,0.9346019903629885,0.724888200026888,mushroom
RiCruin3,"RiCruin (Kilmartin cairn, comparison site)",Extracted (this study),,,,,,,,,,,,0.41754073315870727,2.045010927056982,0.35219091218326415,0.714011466182597,2.642732751075368,0.7191664208550348,0.5637186243466237,mushroom
RiCruin4,"RiCruin (Kilmartin cairn, comparison site)",Extracted (this study),,,,,,,,,,,,0.5467441827722915,1.7653828328064807,0.4637846456866046,0.8273142235466628,1.8385763878173986,1.7734355351427429,0.1612336013181993,mushroom
RiCruin5,"RiCruin (Kilmartin cairn, comparison site)",Extracted (this study),,,,,,,,,,,,0.4995589427304547,1.5127376524543736,0.5214754083378915,0.7929483903934593,4.464521552382619,1.0021117533511517,0.8564353796215535,mushroom
RiCruin6,"RiCruin (Kilmartin cairn, comparison site)",Extracted (this study),,,,,,,,,,,,0.42031149642703425,1.5805108468151396,0.4307510799948355,0.7099041083012128,4.41183352610114,0.7839978663870782,0.9321803135140649,mushroom
F595-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,77540.0,1604.37886,475.0,400.0,,,,,0.37854874,1.13356032,0.88217626,0.65190616,,,,
F596-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,59475.0,1506.76364,369.0,400.0,,,,,0.32919562,1.38009065,0.72459009,0.66314698,,,,
F597-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,70370.0,1705.24177,468.0,400.0,,,,,0.30410635,1.10469096,0.90523054,0.56559795,,,,
F600.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,29037.0,1063.33514,157.0,400.0,,,,,0.32271658,3.58256046,0.27912997,0.68156372,,,,
F601.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,56098.0,1455.04076,354.0,400.0,,,,,0.33297139,1.36012566,0.73522618,0.65692755,,,,
F602.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,36610.0,1188.9676,266.0,400.0,,,,,0.32543896,2.34250767,0.42689295,0.57441868,,,,
F603.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,63864.0,1257.69553,303.0,400.0,,,,,0.50735851,1.85871628,0.53800572,0.75487131,,,,
F604.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,62869.0,1099.45289,225.0,400.0,,,,,0.6535716,2.1269669,0.47015306,0.94266265,,,,
