Circularity,Aspect Ratio,Roundness,Solidity
0.55275921,2.62867312,0.38042007,0.85716588
0.426168,2.55863644,0.39083317,0.70571645
0.50559572,2.96887997,0.33682736,0.84300522
0.47627038,2.58699584,0.38654875,0.7660335
0.52301047,2.66777596,0.37484407,0.83325631
0.69931078,1.76494935,0.5665885,0.92863352
0.41697281,2.99231025,0.33418995,0.69990097
0.45997333,2.48443497,0.40250601,0.72271826
0.55753296,2.33489372,0.42828502,0.88398088
0.37840545,2.97059548,0.33663284,0.64757451
0.43103488,2.87257127,0.34812017,0.7160329
0.48578732,2.87378765,0.34797282,0.81419905
0.39604842,2.87132812,0.34827089,0.68594645
0.39298891,2.6446489,0.37812203,0.67486537
0.44980323,2.74526881,0.36426305,0.72632661
0.42549042,2.9047351,0.34426547,0.71610139
0.52798849,2.48889851,0.40178416,0.84283055
0.37824939,3.94552125,0.25345194,0.69428163
0.46531429,2.80109183,0.35700365,0.78433222
0.46427197,3.15372324,0.31708553,0.75804354
0.61224354,2.38269613,0.41969263,0.89043884
0.40103393,3.07559709,0.32514012,0.69222295
0.54129095,3.36636208,0.29705658,0.92316562
0.44670568,3.52603912,0.28360434,0.76947307
0.60085158,2.22604339,0.44922754,0.85704888
0.41257132,3.01979877,0.33114789,0.69336461
0.6199355,2.16478998,0.46193857,0.8671408
0.51032382,3.1077374,0.32177751,0.78519546
0.47644727,3.33840217,0.2995445,0.85150017
0.4764123,2.68918695,0.37185961,0.78156665
0.51383144,3.03748356,0.32921989,0.89489671
0.4620058,3.10950279,0.32159482,0.79131421
0.66957982,1.8998535,0.52635637,0.92081473
0.54314518,2.78306396,0.35931621,0.87153292
0.47467094,2.93281052,0.34096986,0.80384878
0.47390952,2.76071508,0.36222499,0.77468359
0.48619717,2.92864045,0.34145537,0.77892249
0.41936999,2.53884597,0.39387974,0.67473146
0.37284093,5.52306951,0.18105874,0.87696455
0.23045536,8.07777167,0.12379652,0.64752583
0.42282936,4.15730706,0.24054033,0.77887514
0.52220135,3.24926403,0.307762,0.86552713
0.46430986,2.51153596,0.39816272,0.77027754
0.4752702,3.05472461,0.32736175,0.77258868
0.46710697,3.75752226,0.26613282,0.88296828
0.45622752,2.99895704,0.33344926,0.76093369
0.51153445,2.18235694,0.45822018,0.77922638
0.44743639,2.87734727,0.34754234,0.73832254
0.47338624,2.9017946,0.34461433,0.81788418
0.47555002,2.59753221,0.38498079,0.76241698
0.53904172,2.0774755,0.48135345,0.82274705
0.04207565,2.04498367,0.48900146,0.23102612
0.42406182,3.69808917,0.27040992,0.75078594
0.37483381,2.99020408,0.33442534,0.6416761
0.4413584,2.82628893,0.35382087,0.72989843
0.4803474,2.27285664,0.43997496,0.73942703
0.57563154,2.38768242,0.41881617,0.8675418
0.51817402,2.63567052,0.37941009,0.81485479
0.50880757,2.28708873,0.43723708,0.80604188
0.56611994,2.21647711,0.4511664,0.87748407
0.47737692,2.56174258,0.39035928,0.79423155
0.47413378,3.18211775,0.31425613,0.78793186
0.69563085,1.93290442,0.51735616,0.94427064
0.46788444,2.49242281,0.40121604,0.74541601
