id,imagej_0,imagej_1,imagej_2,imagej_3,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,efd_0,efd_1,efd_2,efd_3,efd_4,efd_5,efd_6,efd_7,efd_8,efd_9,efd_10,efd_11,efd_12,efd_13,efd_14,efd_15,efd_16,efd_17,efd_18,efd_19,efd_20,efd_21,efd_22,efd_23,efd_24,efd_25,efd_26,efd_27,efd_28,efd_29,efd_30,efd_31,efd_32,efd_33,efd_34,efd_35,efd_36,efd_37,efd_38,efd_39,skel_0,skel_1,skel_2,stone
s4_029,0.40910027342767147,1.2519930016168974,0.5275215412822455,0.6725220909187692,3.0136858809972282,7.338477058934145,9.212199133190246,10.352087872721306,20.14041396836472,14.057425191817131,-20.910107177351268,1.0,-7.395911187833424e-17,8.28043884098542e-17,0.8725973387096959,0.13179483677074302,0.15364095100665506,0.15487133437517808,-0.30459718923914175,0.19037986349227717,0.10763516056747521,-0.001671253495779324,0.09038256460649359,0.05592085647127606,-0.006088112393038385,-0.09142322670004453,0.11332782088393537,-0.018543264124249382,-0.04574743528664035,-0.006212780293571024,-0.0005442812247918726,-0.0008873950130339586,0.03067707811858368,0.009488320325072245,0.0046630837677194715,0.012073522151692787,0.04673103911457482,-0.023032480404293777,0.010599337251707426,0.012532944960027078,-0.014592857014240262,-0.007870675548573144,-0.008173373759613186,0.009208308995632143,-0.00951834451502625,-0.008522729206171779,-0.0072246188141642945,-0.009860833979633901,0.012212153473501389,-0.011537519545105738,0.002148155986679743,22.622508551595086,0.2816110947750053,0.06201550387596899,4
s4_028,0.48112042364512686,1.3541124433528737,0.5471512736401745,0.7586154003476838,3.0548252296924994,7.17239705206051,9.277391519432085,10.465708243924237,20.384450452319513,14.13238676538974,-20.69186857631961,1.0,-3.249021279767239e-17,4.101252348020155e-17,0.722456384968564,0.14113491396287134,0.09174459734205752,0.13199942288493968,-0.2498382006631124,0.09303343862019481,0.036804389596180695,-0.022743946361111267,0.07168294145380932,0.04176310411696927,0.00325850452715515,-0.046274169192757966,0.0494798389762027,-0.0003716625327585526,-0.008392309925212066,0.044893626079869534,-0.02000505442709438,0.01571581747811581,0.03872939635505483,0.0014730830891293654,0.010533688437552176,0.012843996658405155,0.017222577692309737,-0.030009924285880778,0.005142910961676898,0.011218221657440453,-0.011951157145434356,0.0035399271656294425,0.0014168016229372516,0.00018884198271333907,0.009666407761821925,-0.0003169022788983988,0.009976297174999389,-0.006025396997583167,0.01147562545896773,-0.011473242877335527,-0.0024696024971783133,27.485949226893936,0.3445875043896416,0.10687022900763359,4
s4_014,0.4684531893674786,1.951865247986112,0.3584687914382088,0.743979601473227,2.9589760328696064,6.384858120263451,9.07150065676195,9.777692525964971,19.23194641273216,12.999404365348976,-19.649260406677648,1.0,8.592234160501423e-18,-2.0056684750445432e-17,0.5131803147618115,0.12335140152724886,0.005504899216916833,0.10082757518112377,-0.20995205183274795,0.08756791123229757,0.02648343657289464,-0.01732123876513173,0.1431041309351847,0.030609066468186206,-0.0072056375700409415,-0.022564453398287155,0.047056275873538826,-0.00023229047774518414,-0.006159189012882094,0.03142065629643539,-0.01830761932540374,0.027408716907517196,0.02350377015489124,0.0011255478094026432,0.012559615195110254,0.0032463425130806406,0.004471388499238925,-0.009296772017904886,0.0038157532294179164,0.006124929474536679,-0.008166301105722678,0.00403743535388729,0.006693160362906938,0.0036297307599171894,0.008772434996525073,-0.0004568182195974138,0.008818073178197067,8.62172397058105e-05,0.004020338360858146,-0.0020647052548609587,-0.0028223664940485796,19.271766877080715,0.2694792630397581,0.14102564102564102,4
s4_016,0.3780152045933574,2.366858542361228,0.2659426067323997,0.640167729536123,2.8592057776154802,6.0318682596353055,8.725413664858106,9.19460996181374,18.15559434794825,12.216019500781156,-19.32952397845063,1.0,-3.701073197297824e-17,6.192054217366287e-17,0.41730357878507196,0.1425109507076428,0.029141712056126746,0.04290915536581816,-0.2131300850687245,0.10878413951926379,-0.003645842006255062,-0.026064492884377427,0.14506312776224595,-0.00012448884444596226,-0.008491671989158624,-0.007602545586991076,0.02484732948936672,0.023027873735669717,0.001674025510419094,0.026390031600578043,-0.029722335214727388,0.03518314554399651,0.014215967990421623,-0.010159908298772112,0.027945825676274363,-0.0027646343416744402,-0.009750474886032711,-0.006792395378008014,0.021062936508397558,0.005847338119542509,0.001498165512154304,0.007899376771347525,-0.0023823315139140824,0.008387008927892676,0.006887657855669669,-0.005323918317290834,0.006157363771481225,0.0028493012849650874,-0.003723661053851139,-0.0035362709911994704,0.005059544971196707,16.889185396544196,0.297103461009185,0.16279069767441862,4
s4_002,0.4453116868237563,1.8567105558110413,0.3809422810452361,0.719135017263311,2.975993974003408,6.470794555654867,9.047740513547735,9.591441065453905,18.911260460821627,12.82683888149044,-20.399979619749818,1.0,1.9152258609847407e-17,-3.3698734952372835e-17,0.516285602848576,0.11654565080939022,-0.025345047912457744,0.00816348780646851,-0.245854391370493,0.13043888773755583,-0.006237777175558604,0.020073934797567423,0.09698634105106013,0.013118175059849314,0.0031544675606746827,0.014489981338563872,0.06332853197208728,-0.0020524509480887064,-0.005693348888926503,-0.011836071327389253,-0.019132545975705392,0.040278735353674856,-0.0009037088287170126,-0.0005706606482327336,0.001561919786565482,0.01007997948724015,-0.006498958951951339,0.006737035760374417,0.01966665956954756,-0.00797850369749499,0.0028811968112221254,0.0018162862182071395,0.003480898744988787,0.012576778941095334,-0.0030957693373000186,0.0016997150542459685,-0.004528439097923899,0.010008845599626167,-0.0009613782968326168,0.0014116448034173178,0.0076739489406657275,29.756543765068223,0.37446494152593274,0.19938650306748465,4
s4_003,0.4440592570404076,1.3394669433125677,0.520794580312284,0.7053872053872053,3.0300274122806004,7.1527321958820105,9.255498872651692,10.668222469575218,20.728741686813226,14.278872743707323,-20.848857732263316,1.0,4.596191815895932e-18,-7.822799234929583e-18,0.8440478058645642,0.1976707397322215,0.07370900769985621,0.13987966061194496,-0.28055508336682633,0.13248162751175885,0.06789708142716298,-0.006207519420032888,0.12209124457758129,0.026689478775367325,-0.010398089951601616,-0.06343085672780384,0.11527945054738446,-0.024991926912052015,-0.018433979950852736,0.021940201732329627,-0.02014998609443205,0.01610759376086124,0.03858383320699443,0.013006901860756348,0.0015972556528287512,0.015801428487643664,0.021750662831725498,-0.029606281345045334,0.017436200179232628,-0.0012658076099484443,-0.01777755919969759,-0.0019051290672462962,0.0017132884659801847,-0.00813582694545553,-0.0024713868222403196,0.002961043850280336,0.009840501547499401,-0.0019457781642482064,0.01350474144571666,-0.008676404386063607,0.002282880198521734,17.244648875290647,0.2843299620302381,0.0,4
s4_017,0.3782780683701794,1.4758368872497698,0.4253730074550758,0.6472913961996931,2.97042988498849,6.802833118244575,9.071652888493867,10.141247398974585,19.761958627156694,13.567974802996439,-20.346089943660807,1.0,-5.143795602617809e-17,4.926022984545681e-17,0.7642525574480394,0.20349484407152485,0.06724378048586051,0.10896581447748628,-0.3153427469209265,0.20299529383428003,0.03190486842557249,-0.014851316279369593,0.1299951958829303,0.004499178964690399,-0.007235569574014886,-0.06129274849170012,0.12556776832033398,-0.03218620770982591,-0.019354130298105024,0.015344940315413468,-0.023239164609435384,0.04765861619120543,0.02670714707423778,0.009482374881996247,-0.012531594298842928,0.022853318168730843,0.016117627163224336,-0.01826907335138796,0.020949769569721284,-0.011534497282250703,-0.016585014400437074,-0.0060537809332936185,0.007070851094188192,0.00737000567603363,0.004429065654965451,-0.0038483260989713663,0.001066315001790915,0.009673531853360352,0.007914014208995668,-0.006412520353798922,0.0009264508558378753,20.49865472263181,0.2539241036113588,0.0,4
s4_049,0.48355339050053797,2.2207854270808056,0.34320263988734895,0.7781362932369644,2.9611209258843196,6.279425466396189,9.18658052191961,9.812739725716431,19.333112635074233,12.998114915160405,19.83293183095135,1.0,-2.877482937354502e-17,5.711313702913597e-17,0.47690388736958883,0.09481079854809843,-0.03637901386412586,-0.0838971919181793,-0.170606556263178,0.08879979743007982,-0.004804981034016867,0.020343581081217612,0.12042655277011712,0.013265604638247424,-0.008205104953483802,0.022148748734534256,0.027746456167581226,0.01646379895089973,-0.004723698526785988,-0.024874159568451428,-0.0195388106521116,0.024070634891506935,-0.00856125709381714,0.013125635717465821,0.020091665152404486,-0.0001066149423309705,-0.0031001771214391317,0.005884557987134249,0.013664310826690559,0.002841329165251271,0.0005090505670973132,-0.005004767773468924,-0.002159880937287905,0.008435454083565429,-0.006393328385304295,0.006504527588650781,0.002730683472675966,0.000788968413885365,0.00037804464066693196,-8.823476154703352e-05,0.00565940909693222,34.32375516561348,0.28702747773410386,0.0972644376899696,4
s4_048,0.4100718369298922,1.2683605243475449,0.5308808764182988,0.664577709217123,3.0208020252530443,7.305603693882423,9.255529722696345,10.23504426339317,19.980333301725558,13.889473735823325,-22.493332241232814,1.0,-6.294124181797314e-17,7.022774423046316e-17,0.8505389290254715,0.15284200552007815,0.06959841746217522,0.07051821550621816,-0.3378500186131629,0.22030918844692074,0.07234659208450835,-0.009227380399134283,0.057279515061124095,0.04371309266175939,-0.00759788307357893,-0.062016275732296317,0.13306087823418303,-0.03356801624913667,-0.028287270983760823,-0.006871228762180099,0.009508016599331417,0.019399780433960363,0.014637930912233435,0.017565205196722923,-0.014886983204182733,0.02956263686501992,0.029048864978297,-0.009630668371096773,0.01437085564449579,-0.0040013326560524734,-0.008073079360628952,-0.009474565262172281,0.01114779853609651,0.006236556946963688,-0.006535929308899164,-0.004470211410663497,0.003286909574972039,0.0018476194339780486,0.011852998238944725,-0.007489327323027731,0.004964687135601936,17.209695480641653,0.31726105312048597,0.10606060606060606,4
s4_051,0.22150817718054422,2.9586954273935677,0.22654737530012556,0.5375882221441574,2.8139322531237516,5.82718120311449,9.632834094922694,10.193684558820859,20.106948888558517,13.134572180692539,22.425714114826,1.0,4.6449341100923516e-17,-8.952608759897592e-17,0.3937727073003131,0.027012434329474116,0.03630416227750024,0.008659112993103147,-0.027456661117818325,0.13305620393038184,0.027725820952195064,0.08389758730804568,0.11009848481529123,0.098047961324052,0.058023455751865925,0.04030102498081066,-0.1516271908302124,0.03586864540328001,0.020195723475164903,-0.033623905540409976,0.06037915040966244,-0.006328781439493403,0.003900629093879758,-0.038381579670574595,0.03249201512966596,0.028341395076636036,-0.015883909270608215,-0.008267529468034896,-0.004610850003263351,-0.006377605483024853,-0.008567529721836423,0.01668401033567665,-0.0025994424031048915,0.003210533242483171,0.02103575429352516,0.015281660350487244,-0.018443998749409354,0.017241262883896873,0.02379034251589774,-0.00383479428250576,0.02588900060682914,33.8727863738016,0.4461557667120647,0.17065868263473055,4
s4_045,0.5405578979796879,1.3422064073537223,0.566020391922098,0.7670751077830724,3.06682731419064,7.220614872028894,9.42154934727074,10.436678066749238,20.5471287870717,14.953478180999662,-20.489320796240936,1.0,-5.0739251004463314e-17,7.429085348764203e-17,0.7054070693668668,0.02089651421458631,0.0941826365410843,0.2341104504618074,-0.16952082600753698,0.08316705992201573,0.053102873987432485,0.030481285383804117,0.06207050704988638,0.04326277433677495,0.06428097550026987,-0.07258845692505118,0.04882486623613238,0.02774036440708282,-0.02905457818311585,-0.022480481487933093,0.014745041397086416,0.012385583492474376,-0.0017530502093791314,-0.007947950649679111,0.01604739617319508,-0.012745668426057412,0.0037150020055270825,-0.011600730479457226,0.00841703368541139,0.0005682440334760891,0.008519062998184286,-0.007660076719768333,-0.004808090930045669,0.0016241893556044843,0.004630074129286567,-0.006390377319030766,-0.006081982471216152,0.007006013238796509,0.0017348846093353401,-0.006241980713072858,-0.0031094115087909476,20.971633357337435,0.299811273929386,0.0,4
s4_044,0.28025164691170507,1.404280495595352,0.3618827228145757,0.507794492296494,2.8861762742121866,6.743115397550067,8.57749049170503,9.269068185484352,18.19385877283603,12.655434297536779,-19.271811889712254,1.0,6.850160217054091e-17,-1.0775418916355519e-16,0.620018584116885,0.24265888185980974,0.056028073581828396,0.0530392975956381,-0.387118554224722,0.17419792099687356,0.003631585118293403,0.0015530516256796213,0.1194528575994356,-0.00343346202756458,-0.0045388175674918535,-0.012825725712531202,0.0789564948934646,0.0025944834245397795,0.008307006260036312,0.014952540036092714,-0.05140030838909198,0.06788313646937848,0.016381433364103862,-0.001898103156715426,0.007357919607289723,0.004596807530501937,-0.0020362520356465488,-0.007442662783947178,0.026062256457101522,-0.004793990575521182,-0.0026077092241230506,0.005268642585762568,-0.00549900777274645,0.023047085168564106,0.012120610056338429,0.0009596395448837559,0.007071558968019507,0.005559741855112956,0.0011927306760722502,-0.003031068059515272,0.007583297706863246,20.70499159323645,0.4179720096115197,0.22926829268292684,4
s4_050,0.3674731903597503,1.8746496760080962,0.32178493189639823,0.6262763959978395,2.9045644759944254,6.317473849176738,8.8062598174199,9.468303868661389,18.647500911642503,12.698754718514591,-18.983397688459803,1.0,-8.345475479112928e-17,1.0398569365866137e-16,0.523492457455923,0.15784940465580458,0.048062161590797466,0.19227453993022117,-0.2324837607187575,0.12970311223482206,0.032351922307815716,-0.029313642681828907,0.12645838880098625,0.005977918756058683,-0.02439416788546456,-0.04403813228497382,0.04508467793972894,0.020364697672460668,-0.005696659892459238,0.03981570660041986,-0.010278202197452778,0.02381912307098089,0.03976924106216876,-0.012764563554045491,0.012240152880918502,0.01506758468194727,-0.010278809684512917,-0.02487888072261471,0.006506403991747425,0.01019710753645414,-0.012031520400383708,0.008093108377826322,0.0091139875172832,-0.0029636030018875274,0.014256213886049253,-0.002094604111720113,-0.0003840946065294317,0.006306774659318002,0.0036465238623024513,-0.006285052474105825,-0.0035025280777791815,28.54941278754944,0.312158359041437,0.11510791366906475,4
s4_046,0.33825291563238885,1.7961461312802296,0.318609032160808,0.5845710210536107,2.891747487251477,6.340277616993567,8.683446747832138,9.398459234649755,18.476712779990283,12.618074997112112,-18.84031511315777,1.0,-4.640940301359163e-17,4.2880581567444543e-17,0.5133270961066888,0.18337743097284026,0.05954164760478559,0.17119320475125455,-0.25579866819547364,0.10392643834990063,0.02388829763552419,-0.05338258167662574,0.12925659883840884,0.017357578563734256,-0.016077025511087785,-0.028415100871865374,0.026005401925415537,0.017301238778664782,0.003341277815268482,0.06036668939827304,-0.017606038524708413,0.027693239023567573,0.03319681429681157,-0.014751375830940572,0.02131007600407855,0.0067391816159119025,-0.008554836032435878,-0.015170525438250081,0.008251958934362176,0.006369423560704416,0.00041449019249658285,0.014476780611461036,0.009190792587789322,0.0031755024623389676,0.014888178273550306,-0.011323130493712238,-0.0006154730526525275,0.0067856241150759345,0.001961854651773933,-0.003944042318612681,0.0014880929735111798,23.980966350656168,0.3587074559212671,0.13959390862944163,4
s4_052,0.45895751636654,2.5178051402762067,0.32177924915877987,0.7705398019661426,2.949695141753573,6.175729023319358,9.432084424425847,10.108437123449093,19.88009010813237,13.197019874158533,-20.975918297887738,1.0,8.604754251484051e-19,-2.3926830434656945e-18,0.4771717630308338,0.13486153652158894,0.0025761077590145958,0.01880097888111038,-0.14235179272151602,0.07127261340271474,0.006678455873889513,-0.005836992087623318,0.14311840368508316,0.0022656879760089652,-0.01036008643152104,-0.0033240473848012023,0.0043904750841982565,0.031555899077066,0.013899948385995082,0.007019324138431821,-0.020806691268562737,0.01759970247699811,-0.004257634432568044,-0.010834893271002287,0.04402143824179317,-0.008022443295818266,-0.004438546332393607,-0.004733900184076495,-0.000526821604374138,0.010813110442779801,0.004933152538388056,0.008254276767666761,-0.010929187305710965,0.009693298007940165,0.00011903114019454433,-0.00953069607430283,0.0165038726592585,-0.006735180719624379,-0.0048740916088396554,-0.0014496554296780646,0.0019795545482189938,44.19554271647771,0.313221921737824,0.0,4
s4_053,0.39282893140172576,2.1601498670627906,0.319735182240983,0.67779632721202,2.9262127001475453,6.2305729258434175,8.941828132996584,9.46993232305809,18.675949937851403,12.586578825222206,20.275285948389005,1.0,-1.9900327977017176e-17,4.657250001993905e-17,0.48024947123448863,0.14942426697514233,-0.031813849551185956,-0.02829560276570901,-0.22405397028830445,0.11875503563159083,-0.005935425726938171,0.0238629194670125,0.12405658340112781,-0.004097139717127617,0.016525400979653677,0.008399885087751522,0.027858864645974774,0.028618624652378334,-0.009762054302972658,-0.018498813652188622,-0.026264926810439678,0.037171937170356974,-0.010641106262673661,0.011548547187153176,0.03379467022317682,-0.0073498306115871055,0.009769233669359183,0.006129811795252895,0.018041469286690256,0.005698745076605419,0.0018388554139742914,-0.011488774343907337,-0.014011881070683975,0.01337282727705816,-0.014097823987182132,0.005143032866776296,0.010747045633575281,0.0031379929398088883,0.007630123612058787,0.005351853047704246,0.007008810718115779,34.5114364435042,0.3645696729541688,0.18303571428571427,4
