Area,Perimeter,Height,Width,Circularity,Aspect Ratio,Roundness,Solidity,source,id
40528.0,1233.7270555095806,400.0,229.0,0.3346007104256901,2.774543950021412,0.21374827221007642,0.6544268436435272,mushroom,bwhttp___pictures.snsb.info_BSMwohlfcoll_web_M-0050_M-0050674_20020625_160814
35209.0,1264.5554826343268,400.0,254.0,0.2766863770998366,2.605944499989314,0.20797990430956978,0.5570779868044239,mushroom,bwhttp___pictures.snsb.info_BSMwohlfcoll_web_M-0050_M-0050676_20020625_161348
45941.0,1123.0163773909258,400.0,181.0,0.45776030381540606,3.0638092964873658,0.2669580523425177,0.7818680009530617,mushroom,bwhttp___pictures.snsb
47053.0,1109.9625535217635,400.0,209.0,0.4799329057982713,2.514441407898698,0.3040802016801046,0.7870895435004432,mushroom,bwhttp___sweetgum.nybg.org_images3_126_885_f-196
53998.0,1103.5361466505706,400.0,232.0,0.5572042396480634,1.9144149116205043,0.43861386378405565,0.8337785463922301,mushroom,bwhttps___arpoprodmediasto.blob.core.windows.net_mediacontainer_ce1d1a52-b142-4db7-834b-ac48011b7728
120833.0,1731.5676759431467,400.0,597.0,0.5064265687914307,1.7214655872099525,0.4909753203359568,0.814957948053875,mushroom,bwhttps___inaturalist-open-data.s3.amazonaws.com_photos_109031348_original.jpg_1609624480
39417.0,1235.068109219035,400.0,259.0,0.3247219269972832,2.285439355747955,0.23830649225446135,0.5973358792507729,mushroom,bwhttps___inaturalist-open-data.s3.amazonaws.com_photos_109269036_original.jpg_1609824868
48299.0,1438.3128419472075,400.0,361.0,0.29338728416583226,1.5523319887270697,0.3369330969982917,0.5703977514289763,mushroom,bwimages (2)
59900.0,1244.129075763134,400.0,273.0,0.4863017212657954,2.1002952400254298,0.37995658515220415,0.7927789615786757,mushroom,bwimages (2)_
62869.0,1098.9676041556468,400.0,225.0,0.654148930858225,2.1269942866565508,0.4387598675915459,0.9442909069061852,carving,F604
35168.0,1531.4966081312812,400.0,356.0,0.18841933044435064,2.0376841136984045,0.24387397144312195,0.4414873584574054,carving,F609-aligned
38998.0,1273.9625535217635,400.0,278.0,0.30195266961905853,2.3678739115874596,0.26736477607833764,0.6008196216182905,carving,F618
81365.0,1301.844804515672,400.0,361.0,0.6032940809277775,1.2340612982000638,0.6714923834709379,0.8350266830870279,carving,F620
61350.0,1351.212336883819,400.0,362.0,0.42225735940259623,1.4230367394205068,0.48518519517106795,0.6973017208065286,carving,F627-aligned
84399.0,1478.7737367038067,400.0,436.0,0.4850021985670304,1.33033780871694,0.5653614577950021,0.7388967195748667,carving,F628
51998.0,1312.7737367038067,400.0,353.0,0.3791549623680932,1.5191584684530979,0.4308879530534735,0.6644857066182767,carving,F634
70227.0,1360.1707063234765,400.0,392.0,0.4770096288662486,1.1771657592697005,0.6030105235543362,0.7236166924265842,carving,F646
76802.0,1485.6610383315985,400.0,425.0,0.4372631967632462,1.0406041510980442,0.6494876163255365,0.6953427733314019,carving,F649
49764.0,1157.862048458375,400.0,269.0,0.46645688428444537,2.020297170330399,0.36472098208983195,0.7565447414029006,carving,F651
66216.0,1335.7371567773473,400.0,351.0,0.466370199800164,1.4013921068364954,0.48235435993799824,0.722156785761026,carving,F658
78699.0,1401.5016587651644,400.0,376.0,0.503491155244577,1.3844073347552703,0.5628781775978957,0.7899840395097419,carving,F662
50998.0,1269.17575695736,400.0,269.0,0.3978501012170717,1.625586580385017,0.443504121750232,0.7251862806438769,carving,F664
53325.0,1327.785930012626,400.0,332.0,0.3800883895551807,1.4067400603279558,0.48527745624082225,0.6822979975689335,carving,F667-aligned
47050.0,1117.7615433949868,400.0,255.0,0.47322879700794823,2.231954192570875,0.33983300738661654,0.7714126442812173,carving,F670
76429.0,1339.9625535217635,400.0,363.0,0.5349124643074719,1.3446917846770141,0.5623529209443565,0.7737373328339019,carving,F671
57667.0,1282.4722215136414,400.0,356.0,0.440596749433225,1.3086171403623814,0.5113650436254811,0.6967727124439665,carving,F672
84291.0,1596.95750288788,400.0,487.0,0.41534056744589387,1.15744004793371,0.5726016965940759,0.6883257933332244,carving,F673-aligned
47358.0,1142.1808075912431,400.0,247.0,0.4561771216406013,2.529422482361167,0.32012013144392765,0.7707631463307456,carving,F674
45507.0,1290.4650788387053,400.0,322.0,0.3433962567959889,1.9072702405472328,0.34117713088158125,0.6093191403896365,carving,F675
44067.0,1277.4945160902282,400.0,319.0,0.3393167202340561,1.8015875855610273,0.3182836092297367,0.5898565080044975,carving,F677
65213.0,1306.974746830583,400.0,358.0,0.47974410951401364,1.3537913382334257,0.5484657935272332,0.7637434708265992,carving,F678
41532.0,1370.4062043356596,400.0,348.0,0.27790353875844614,1.4122242729003511,0.36093790876506815,0.5096763900990342,carving,F679
45557.0,1223.1097397793778,400.0,288.0,0.3826785611236683,1.9211715153931679,0.3310289492243422,0.6389301842865558,carving,F681
66547.0,1419.9747468305832,400.0,386.0,0.41474112766746657,1.3940375705584118,0.4854841576115656,0.6804883785137995,carving,F685
77514.0,1508.0041840821063,400.0,415.0,0.42833633817500455,1.182387565635735,0.5866318803524948,0.6931413753017974,carving,F688
80931.0,1439.3178925810907,400.0,419.0,0.49092067438559567,1.2629519264055618,0.586471205810489,0.7522237403452026,carving,F689
51472.0,1211.033621333629,400.0,292.0,0.44103038025106706,1.8657709730319467,0.3795772512631905,0.7094986698278357,carving,F698
60706.0,1262.2468247692254,400.0,333.0,0.47879863964051433,1.5238759957166474,0.49240359193206823,0.7466637147460733,carving,F699
59878.0,1427.6610383315983,400.0,377.0,0.36917045334899057,1.490717823178221,0.41496850564985677,0.6400025652262209,carving,F701
92073.0,1587.2001435749994,400.0,455.0,0.459281307006811,1.0096697817489202,0.718213306842301,0.7430934990516929,carving,F702
61066.0,1332.3889603929565,400.0,371.0,0.4322622264902945,1.264290251911794,0.5330441424111273,0.6849419550221524,carving,F704
47654.0,1148.4234482783627,400.0,255.0,0.4540515075859972,1.855807816408372,0.381957742320975,0.7268096269407924,carving,F707
45411.0,1277.0924958366747,400.0,324.0,0.3498857246928064,1.6545218458344209,0.3644712106407072,0.5976389766266582,carving,F719
